epoch,categorical_accuracy,loss,lr
0,0.8679084680157754,80118.86310865842,1e-04
1,0.9364124255159024,35555.094614050264,1e-04
2,0.95873575429255,23187.048230062395,1e-04
3,0.9696484988834501,16726.27082841775,1e-04
4,0.9747633394645632,13249.158688402282,1e-04
5,0.9765067483221391,12033.741816100392,1e-04
6,0.9798040058655494,9955.355623317779,1e-04
7,0.981735491912637,8938.409018838698,1e-04
8,0.9829213861917756,8253.777393725095,1e-04
9,0.9846852049064849,7290.901836762226,1e-04
10,0.9855200170270548,6899.159099263099,1e-04
11,0.9870631621454653,5945.128378370998,1e-04
12,0.9880768846745459,5474.752926820077,1e-04
13,0.9880401713469418,5479.589797734681,1e-04
14,0.9892204757238128,4855.820971051585,1e-04
15,0.9897715701352829,4602.16280520309,1e-04
16,0.9893048188297007,4901.694781207399,1e-04
17,0.9913754572537655,3874.184217619416,1e-04
18,0.9914637947375876,3885.7331000889176,1e-04
19,0.9913535240779253,3844.3820215007604,1e-04
20,0.9920417576428228,3476.1992203885275,1e-04
21,0.9916395165642903,3725.8597408695778,1e-04
22,0.9896705129935971,5141.885653775277,1e-04
23,0.9942250208433309,2582.9725438060377,1e-04
24,0.9946917679485858,2341.180980093527,1e-04
25,0.9931158490762347,3009.1974610876982,1e-04
26,0.9928214017310132,3148.219929671661,1e-04
27,0.9934280189358414,2908.3704982817308,1e-04
28,0.9932835331432505,2974.8899316297016,1e-04
29,0.9945373018449318,2390.439022601851,5e-05
30,0.9964604143728346,1548.831354913562,5e-05
31,0.9960446464402031,1719.6912986874847,5e-05
32,0.9958840327241544,1743.3639947605348,5e-05
33,0.995509732956321,1957.0771065185002,5e-05
34,0.9965124498277702,1484.9119350424817,5e-05
35,0.9969901002493481,1284.9180898303687,5e-05
36,0.9958779595175579,1776.2314423426685,5e-05
37,0.9963186457253143,1575.6793272628613,5e-05
38,0.996480245651548,1494.1369971290264,5e-05
39,0.9962603995197304,1587.1608796941086,5e-05
40,0.9968236166758825,1372.0463354464878,2.5e-05
41,0.9981260356353701,823.8319258039163,2.5e-05
42,0.9981081290399735,810.04281283385,2.5e-05
43,0.9975435285760252,1041.1647305755273,2.5e-05
44,0.997718392735893,976.8942166868205,2.5e-05
45,0.9979272264762212,878.4581706070527,2.5e-05
46,0.9976657362325613,998.191692138945,2.5e-05
47,0.997812581208995,933.4130661215559,1.25e-05
48,0.9986334173071304,618.119545972854,1.25e-05
49,0.9987244195986114,562.8468675549399,1.25e-05
50,0.9986359871073858,590.1760866476652,1.25e-05
51,0.9985481971995676,620.1649379175515,1.25e-05
52,0.9986325517063439,586.5806871452587,1.25e-05
53,0.9986871660955801,560.8286293422349,1.25e-05
54,0.9985697352112807,605.6070084027796,1.25e-05
55,0.9985303272070234,619.6496035684676,1.25e-05
56,0.9987027641110773,549.6268408687856,1.25e-05
57,0.998727316224335,539.8895532151463,1.25e-05
58,0.998580031746986,603.1420426678071,1.25e-05
59,0.9985815615995352,604.1511849695671,1.25e-05
60,0.9987288971475307,544.447473205976,1.25e-05
61,0.9987637551305545,527.5134766939236,1.25e-05
62,0.998645383039577,571.552158159431,1.25e-05
63,0.9985615670414313,603.3190482734834,1.25e-05
64,0.9985682216266658,598.5487210574566,1.25e-05
65,0.9987202612078964,543.1605481482726,1.25e-05
66,0.9987034703661132,545.2762411232762,6.25e-06
67,0.9990214332771514,434.6779048330832,6.25e-06
68,0.9991138470119545,398.533654949009,6.25e-06
69,0.9991217478943084,388.8230884219176,6.25e-06
70,0.9991188420678678,386.5052068654856,6.25e-06
71,0.9990964101864988,393.18090373984387,6.25e-06
72,0.9990808491738851,398.1307053533977,6.25e-06
73,0.9990966022014618,391.08748195742066,6.25e-06
74,0.9991290955335502,379.8922868255001,6.25e-06
75,0.9991187719290688,380.5116643457605,6.25e-06
76,0.9991189707445618,379.62995935393127,6.25e-06
77,0.9991203968556935,377.48840929411136,6.25e-06
78,0.9991108497117189,381.7559609722504,6.25e-06
79,0.9991080687616762,380.900141363976,6.25e-06
80,0.9991098765025469,380.4134292517199,6.25e-06
81,0.9991261428367905,373.7063720925009,6.25e-06
82,0.9991450489767446,366.64246147377645,6.25e-06
83,0.9991434470519124,367.2823366852148,6.25e-06
84,0.99913578432145,369.11253340718997,6.25e-06
85,0.9991282734694897,373.12468448101276,6.25e-06
86,0.9991245136431667,372.4813663815492,6.25e-06
87,0.999069092191039,393.66179537506446,3.125e-06
88,0.9992438215404016,331.07149689949597,3.125e-06
89,0.9992975359261702,315.18581409155655,3.125e-06
